"Consumer.Discretionary" "Consumer.Staples" "Energy" "Financials" "Health.Care" "Industrials" "Information.Technology" "Materials" "Telecommunication.Services" "Undefined" "Utilities"
"1999-12-10" 0 0.000467339296331963 0.000351512919790108 0.000809857312030727 0 4.80412600369611e-05 0 0.000262373137152589 0.000411086569007283 0 0.000895733432589762
"1999-12-17" 0 0.000640726523066099 -0.000223375948107131 0.000384745072119627 0 0.000282054999296718 0 -3.32029074358125e-06 -0.0003001006727304 0 -0.00121458056376593
"1999-12-24" 0 -1.47742696988762e-05 0.000349654184772589 7.80324548092077e-06 0 -7.22858772132408e-05 0 0.000250467155586702 1.25510731731055e-05 0 -3.79246034181403e-05
"1999-12-31" 0 5.56592381004488e-06 -0.000104675475078682 -8.46083003336188e-05 0 9.95356277623134e-06 0 6.83588546204564e-05 0.000933438149239415 0 -5.8289368073214e-05
"2000-01-07" 0 7.05650228263273e-05 -0.00024207649337429 0.000366411228997623 0 -4.76405886411976e-05 0 -3.54285608961668e-05 0.000524833191786748 0 -0.000166676901194414
"2000-01-14" 0 5.09381973840479e-05 -8.20730329652159e-06 -0.000158398547985628 0 -3.92085071284701e-05 0 0.000108924281688232 -1.64474456383742e-06 0 1.87914807889287e-05
"2000-01-21" 0 3.09323306151944e-05 -0.000273914380453097 2.66211732466364e-05 0 -1.39439076278779e-05 0 2.70605748374601e-06 -0.000177097738845222 0 3.04669735477743e-05
"2000-01-28" 0 -0.000105422793075483 0.000330638928554704 1.57268952015223e-05 0 0 0 -0.000262904751631197 -0.00057425739481076 0 -3.32057802349783e-05
"2000-02-04" -0.000216213454084003 3.1081919217429e-05 8.60611223675704e-05 -9.44632842710607e-05 0 8.98122215883779e-06 0 -6.99457927051558e-06 0.000392259825657479 0 -6.2182439233714e-06
"2000-02-11" -8.42959022153436e-05 0.000133953130487655 -0.000364425175005614 4.27610877361065e-05 0 -1.09105305302181e-05 0 4.42220350699287e-05 2.05475235450873e-05 0 -4.73606951801911e-05
"2000-02-18" -2.03946211091103e-05 0.000220212101558102 -0.000201352045077041 -4.74995544283798e-05 0 -1.1149352230573e-05 0 -3.54428617726111e-05 -9.55441973133055e-05 0 -9.13154829502119e-05
"2000-02-25" -3.66408634351203e-05 8.99402798234127e-05 -5.43597881432501e-05 5.52412435793464e-05 0 -2.18602000717768e-05 0 -0.000109860136584653 0.000227643577972213 0 0.000234162562609605
"2000-03-03" -1.77928178755209e-05 -1.44004593007161e-05 0.00019069132503554 -1.40645482288238e-05 0 -2.55792065752761e-05 0 -0.000137014176796045 0.000302462941865848 0 0.000288733378452025
