"Consumer.Discretionary" "Consumer.Staples" "Energy" "Financials" "Health.Care" "Industrials" "Information.Technology" "Materials" "Telecommunication.Services" "Undefined" "Utilities"
"2000-06-09" 0 0 2.27920922078919e-06 0 0 0 0 6.03251820037682e-05 -4.09030975459806e-05 0 0.000292054240380643
"2000-06-16" 0 0 -2.94287299504775e-06 0 0 0 0 -3.48506640927689e-05 -0.000117468540001864 0 3.76200927130567e-06
"2000-06-23" 0 0 1.89347150373713e-06 0 0 0 0 -7.19777811334086e-05 -0.000117104421778771 0 2.54099743196423e-06
"2000-06-30" 0 0 8.29145622547847e-07 0 0 0 0 -2.0820486860231e-05 -1.99126329693259e-05 0 6.62251024734553e-05
"2000-07-07" 0 0 1.6119134119909e-06 0 0 0 0 5.3352081803001e-06 -2.18344115119357e-05 0 5.03504633510667e-05
"2000-07-14" 0 0 2.87138839145093e-06 0 0 0 0 -1.47194693303313e-05 -5.95517629772509e-05 0 3.44205064747868e-05
"2000-07-21" 0 0 -6.1478592055846e-07 0 0 0 0 2.98362170295878e-05 -4.48458365271947e-05 0 6.90232204800486e-05
"2000-07-28" 0 0 -5.89339783709075e-07 0 0 0 0 0.000109879312573642 -1.47742985346211e-05 0 -3.9305917674249e-05
"2000-08-04" 0 4.61506746799396e-06 1.10814384450235e-06 5.57829874074407e-06 0 0 0 0.00010649365862311 -2.97330282177583e-05 0 4.94238196885613e-05
"2000-08-11" 0 -1.54902075577608e-06 6.51985212124899e-07 1.84969442322383e-06 0 0 0 1.76340425314233e-05 4.62613574503759e-05 0 -0.000110661617438293
"2000-08-18" 0 -3.15868267917941e-07 5.79621860746938e-07 -2.77223599206968e-06 0 0 0 5.49698602869239e-05 2.52332141238403e-06 0 3.13751408429819e-05
"2000-08-25" 0 -8.29096084031501e-07 7.90866906501398e-07 6.64920896200204e-06 0 0 0 3.00942568256941e-05 3.60633956265687e-07 0 -1.05061291370581e-05
"2000-09-01" 0 -2.88572398960079e-06 1.91485555559002e-06 0 0 0 0 2.05626458976476e-06 2.15382120136994e-06 0 0.000573062716201902
"2000-09-08" 0 2.30078544276763e-07 7.54272071310759e-07 0 0 0 0 -5.74821770968781e-07 -2.89275123470652e-07 0 -6.82340400454179e-05
"2000-09-15" 0 5.2682512021183e-07 -3.23177431689429e-07 0 0 0 0 2.50574032191247e-06 -6.64255028815169e-07 0 -3.04301582246718e-05
"2000-09-22" 0 2.25599722216223e-06 -3.98113256497267e-07 0 0 0 0 -9.22231394295343e-06 -2.49478205019682e-06 0 7.97523922974694e-05
"2000-09-29" 0 -1.45279920496243e-06 -4.14001523561759e-07 0 0 0 0 -3.82971209974981e-05 1.22185804079307e-06 0 5.17684980895763e-05
"2000-10-06" 0 -6.00618291668188e-06 -4.79472076368775e-07 0 0 3.45481856418892e-07 0 6.53980646929096e-06 1.90900486471554e-06 0 -8.04562415572082e-05
"2000-10-13" 0 -3.96750407248507e-06 -5.69228317940117e-08 0 0 -3.98712314647566e-07 0 5.84477186409696e-05 -3.31602641637802e-06 0 -2.88136313776131e-05
"2000-10-20" 0 5.46188365072311e-06 6.31015714569423e-10 0 0 9.88956600424886e-07 0 8.56366774424222e-05 4.64991650497832e-06 0 -5.44606328484806e-05
"2000-10-27" 0 1.19791551714061e-05 -2.92865666154579e-09 0 0 -6.04835653931765e-06 0 -1.97539062896768e-05 5.16468814933539e-06 0 9.86216237334834e-06
"2000-11-03" 0 -4.46858231193493e-06 -2.62620005540653e-07 -3.64689438567819e-06 0 7.91444173860685e-06 0 -1.49320820083374e-05 3.63666979719179e-07 0 6.31413730012909e-05
"2000-11-10" 0 4.8844321307642e-06 -1.92332997115237e-07 2.57291518815796e-06 0 5.56711860336569e-07 0 2.61675623441357e-06 -6.94292274799309e-07 0 -6.33963848972361e-05
"2000-11-17" 0 -2.51019265354658e-06 1.2001612684283e-07 6.52855223783227e-06 0 -1.00714566554635e-07 0 5.25196596633912e-05 1.90816335648605e-05 0 2.37325642226417e-05
"2000-11-24" 0 -1.53159265822074e-07 1.52037556261121e-07 -4.87304064824891e-06 0 -2.42457685913201e-06 0 6.54872664690964e-05 2.18063078091552e-05 0 0.000126164242529296
"2000-12-01" 0 -9.78930736315748e-08 2.32626723423834e-08 7.17480209289928e-06 0 1.98572815771869e-05 0 0.000122204340272029 8.99735401654282e-06 0 -6.37120337756282e-05
"2000-12-08" 0 2.2062590239088e-06 -1.62989927236629e-08 -1.16595711175093e-05 0 4.97302373136663e-06 0 2.5932172101254e-05 9.43079178871163e-06 0 2.41745440256229e-05
"2000-12-15" 0 2.39080102241413e-06 2.12950824823319e-07 8.8651606468943e-06 0 3.1975154646461e-07 0 1.14901638370901e-05 -5.06392438739463e-06 0 8.0196681323937e-05
"2000-12-22" 0 -1.22564989624661e-06 -3.31836072282976e-07 -1.76266910598377e-05 0 -1.21099860906041e-06 0 3.94817609689741e-05 -3.55837105910183e-06 0 -4.48557164694302e-06
"2000-12-29" 0 1.07562336805372e-06 1.3798101323252e-07 -4.82821925832915e-06 0 -1.11568094024234e-06 0 9.65066563750527e-06 4.12227363828106e-06 0 5.92678365571348e-05
"2001-01-05" 0 -9.75567060799448e-07 3.25138713324334e-07 -7.1328917277198e-07 0 -2.20618422213777e-07 0 1.90310112829756e-05 -2.89401278321178e-06 0 2.8887272145893e-05
"2001-01-12" 0 -6.21604658636894e-06 -1.1626387929323e-06 1.71955389607509e-06 0 -5.34990617282935e-07 0 3.04224998335959e-05 -2.65043841457184e-06 0 6.1170061650047e-05
